time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V
0.53745,2119.32291952749,0.451725121972066,0.0225862560986033,11.0967488576201,221.934977152401,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5375,2119.32479416975,0.451720146134056,0.0225860073067028,11.096758673224,221.93517346448,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53755,2119.32666753082,0.451715173696686,0.0225857586848343,11.0967684821196,221.935369642392,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5376,2119.32853961158,0.451710204657632,0.0225855102328816,11.0967782843115,221.935565686231,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53765,2119.3304104129,0.451705239014572,0.0225852619507286,11.0967880798044,221.935761596087,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5377,2119.33227993566,0.451700276765184,0.0225850138382592,11.0967978686026,221.935957372052,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53775,2119.33414818073,0.45169531790715,0.0225847658953575,11.0968076507109,221.936153014219,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5378,2119.33601514898,0.451690362438151,0.0225845181219075,11.0968174261338,221.936348522677,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53785,2119.33788084129,0.451685410355871,0.0225842705177935,11.0968271948759,221.936543897519,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5379,2119.33974525853,0.451680461657996,0.0225840230828998,11.0968369569418,221.936739138835,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53795,2119.34160840157,0.451675516342212,0.0225837758171106,11.0968467123359,221.936934246718,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.538,2119.34347027128,0.451670574406209,0.0225835287203104,11.0968564610629,221.937129221258,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53805,2119.34533086853,0.451665635847676,0.0225832817923838,11.0968662031273,221.937324062547,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5381,2119.34719019419,0.451660700664306,0.0225830350332153,11.0968759385337,221.937518770675,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53815,2119.34904824913,0.45165576885379,0.0225827884426895,11.0968856672867,221.937713345733,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5382,2119.35090503422,0.451650840413826,0.0225825420206913,11.0968953893907,221.937907787813,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53825,2119.35276055033,0.451645915342108,0.0225822957671054,11.0969051048503,221.938102097005,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5383,2119.35461479832,0.451640993636335,0.0225820496818167,11.09691481367,221.938296273401,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53835,2119.35646777906,0.451636075294206,0.0225818037647103,11.0969245158545,221.93849031709,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5384,2119.35831949341,0.451631160313423,0.0225815580156711,11.0969342114082,221.938684228164,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53845,2119.36016994225,0.451626248691688,0.0225813124345844,11.0969439003357,221.938878006713,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5385,2119.36201912644,0.451621340426706,0.0225810670213353,11.0969535826414,221.939071652828,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53855,2119.36386704683,0.451616435516183,0.0225808217758092,11.09696325833,221.939265166599,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5386,2119.3657137043,0.451611533957826,0.0225805766978913,11.0969729274059,221.939458548117,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53865,2119.36755909971,0.451606635749344,0.0225803317874672,11.0969825898736,221.939651797472,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5387,2119.36940323392,0.451601740888448,0.0225800870444224,11.0969922457378,221.939844914755,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53875,2119.37124610779,0.451596849372849,0.0225798424686425,11.0970018950028,221.940037900055,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5388,2119.37308772218,0.451591961200262,0.0225795980600131,11.0970115376732,221.940230753464,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53885,2119.37492807796,0.451587076368402,0.0225793538184201,11.0970211737535,221.94042347507,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.5389,2119.37676717598,0.451582194874986,0.0225791097437493,11.0970308032482,221.940616064965,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.53895,2119.37860501711,0.451577316717731,0.0225788658358866,11.0970404261619,221.940808523237,12,0,3000,2119.34347027128,880.656529728722,55.2237425785281,49.7605398576271,40.2510414904427,-43.2237425785281
0.539,2119.3804416022,0.451572441894359,0.022578622094718,11.0970500424989,221.941000849978,12,0,3000,2119.3804416022,880.619558397805,55.2982131550518,49.8352397878987,39.7044230616726,-43.2982131550518
0.53905,2119.38227693211,0.451567570402591,0.0225783785201295,11.0970596522639,221.941193045277,12,0,3000,2119.3804416022,880.619558397805,55.2982131550518,49.8352397878987,39.7044230616726,-43.2982131550518
0.5391,2119.3841110077,0.451562702240149,0.0225781351120074,11.0970692554612,221.941385109224,12,0,3000,2119.3804416022,880.619558397805,55.2982131550518,49.8352397878987,39.7044230616726,-43.2982131550518
0.53915,2119.38594382982,0.451557837404758,0.0225778918702379,11.0970788520954,221.941577041908,12,0,3000,2119.3804416022,880.619558397805,55.2982131550518,49.8352397878987,39.7044230616726,-43.2982131550518
0.5392,2119.38777539934,0.451552975894145,0.0225776487947073,11.097088442171,221.94176884342,12,0,3000,2119.3804416022,880.619558397805,55.2982131550518,49.8352397878987,39.7044230616726,-43.2982131550518
