time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad,ideal_encoder_count_phase5a,count_difference_vs_phase5a
0.554,1499.46464577244,0.320222894969862,0.0160111447484931,7.85117852579385,157.023570515877,8.51608124592922,0,1500,1494.140625,5.859375,8.51608124592922,8.47973228085354,-910.549268154369,0,8.51608124592922,0.709673437160768,8.51608124592922,0,68.8569693886566,44887,102,1494.140625,-5.32402077243637,1499.46464577244,1494.140625,1,0,2,2,44887,0,0,44887,68.8569693886566,44887,0
0.555,1499.51552019716,0.327908570115075,0.0163954285057538,7.85144490365879,157.028898073176,8.42570584301529,0,1500,1508.7890625,-8.7890625,8.42570584301529,8.48022929062881,1682.61519320469,0,8.42570584301529,0.702142153584608,8.42570584301529,0,69.0139953084055,44990,103,1508.7890625,9.27354230284072,1499.51552019716,1508.7890625,1,1,3,3,44990,0,0,44990,69.0139953084055,44990,0
0.556,1499.50997906904,0.302121066147216,0.0151060533073608,7.85141589037981,157.028317807596,8.51583274104158,0,1500,1494.140625,5.859375,8.51583274104158,8.4794837759659,-1039.22692232942,0,8.51583274104158,0.709652728420132,8.51583274104158,0,69.1710249734661,45092,102,1494.140625,-5.36935406904104,1499.50997906904,1494.140625,0,0,0,0,45092,0,0,45092,69.1710249734661,45092,0
0.557,1499.50589163634,0.321155774640354,0.0160577887320177,7.85139448863224,157.027889772645,8.51632975081686,0,1500,1494.140625,5.859375,8.51632975081686,8.47998078574118,-866.022435274519,0,8.51632975081686,0.709694145901405,8.51632975081686,0,69.3280522968709,45194,102,1494.140625,-5.36526663634095,1499.50589163634,1494.140625,1,1,3,3,45194,0,0,45194,69.3280522968709,45194,0
0.558,1499.55956161828,0.328258984519982,0.0164129492259991,7.85167550400056,157.033510080011,8.42595434790293,0,1500,1508.7890625,-8.7890625,8.42595434790293,8.48047779551645,1719.72088727123,0,8.42595434790293,0.702162862325244,8.42595434790293,-1.77635683940025e-15,69.4850827061599,45297,103,1508.7890625,9.22950088171524,1499.55956161828,1508.7890625,0,1,1,1,45297,0,0,45297,69.4850827061599,45297,0
0.559,1499.55504707137,0.302254510398454,0.0151127255199227,7.8516518658882,157.033037317764,8.51608124592922,0,1500,1494.140625,5.859375,8.51608124592922,8.47973228085354,-1008.3055106073,0,8.51608124592922,0.709673437160768,8.51608124592922,-1.77635683940025e-15,69.6421170458847,45399,102,1494.140625,-5.41442207137311,1499.55504707137,1494.140625,1,0,2,2,45399,0,0,45399,69.6421170458847,45399,0
0.56,1499.55132735331,0.321208421205997,0.0160604210602999,7.85163238948996,157.032647789799,8.51657825570449,0,1500,1494.140625,5.859375,8.51657825570449,8.48022929062881,-840.254592172754,0,8.51657825570449,0.709714854642041,8.51657825570449,0,69.7991491113696,45501,102,1494.140625,-5.41070235330881,1499.55132735331,1494.140625,0,1,1,1,45501,0,0,45501,69.7991491113696,45501,0
0.561,1499.60511977552,0.328281566828327,0.0164140783414163,7.851914045954,157.03828091908,8.42620285279057,0,1500,1508.7890625,-8.7890625,8.42620285279057,8.48072630040409,1741.19408985604,0,8.42620285279057,0.702183571065881,8.42620285279057,0,69.9561842863203,45604,103,1508.7890625,9.18394272448404,1499.60511977552,1508.7890625,0,0,0,0,45604,0,0,45604,69.9561842863203,45604,0
0.562,1499.6006364844,0.302265929746577,0.0151132964873289,7.85189057149659,157.037811429932,8.51632975081686,0,1500,1494.140625,5.859375,8.51632975081686,8.47998078574118,-990.411175119968,0,8.51632975081686,0.709694145901405,8.51632975081686,0,70.1132233989786,45706,102,1494.140625,-5.46001148439609,1499.6006364844,1494.140625,1,1,3,3,45706,0,0,45706,70.1132233989786,45706,0
0.563,1499.59691424443,0.321215719157991,0.0160607859578996,7.85187108189372,157.037421637874,8.42595434790293,0,1500,1508.7890625,-8.7890625,8.42595434790293,8.48047779551645,1616.06360406669,0,8.42595434790293,0.702162862325244,8.42595434790293,0,70.2702602386123,45809,103,1508.7890625,9.19214825556764,1499.59691424443,1508.7890625,0,1,1,0,45809,1,0,45809,70.2702602386123,45809,0
0.564,1499.57098911412,0.299625015188233,0.0149812507594117,7.85173533822883,157.034706764577,8.51608124592922,0,1500,1494.140625,5.859375,8.51608124592922,8.47973228085354,-1094.68657994442,0,8.51608124592922,0.709673437160768,8.51608124592922,0,70.4272971876686,45911,102,1494.140625,-5.43036411411913,1499.57098911412,1494.140625,1,0,2,2,45911,0,0,45911,70.4272971876686,45911,0
