time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm
0.34,1976.61384770545,0.486250859116341,0.024312542955817,10.3495259048922,206.990518097843,11.3221357620943,0,2000,1977.5390625,22.4609375,11.3221357620943,11.1827980626376,502.999560341015,0,11.3221357620943,0.943511313507862,11.3221357620943,0,46.8174990153593,30520,135,1977.5390625,0.925214794548083,1976.61384770545,1977.5390625
0.341,1976.95826381559,0.485953075972542,0.0242976537986271,10.3513292634278,207.026585268556,11.3240409662329,0,2000,1977.5390625,22.4609375,11.3240409662329,11.1847032667761,419.166300284179,0,11.3240409662329,0.943670080519409,11.3240409662329,0,47.0245075828692,30655,135,1977.5390625,0.580798684412684,1976.95826381559,1977.5390625
0.342,1977.30152918443,0.485876964496068,0.0242938482248034,10.3531265966961,207.062531933922,11.3259461703715,0,2000,1977.5390625,22.4609375,11.3259461703715,11.1866084709147,349.305250236816,0,11.3259461703715,0.943828847530955,11.3259461703715,0,47.2315521481974,30790,135,1977.5390625,0.237533315573955,1977.30152918443,1977.5390625
0.343,1977.64431752522,0.485883569720329,0.0242941784860165,10.3549214322514,207.098428645027,11.32785137451,0,2000,1977.5390625,22.4609375,11.32785137451,11.1885136750532,291.08770853068,0,11.32785137451,0.943987614542501,11.32785137451,0,47.4386326318178,30925,135,1977.5390625,-0.10525502521773,1977.64431752522,1977.5390625
0.344,1977.98688050007,0.485921119264936,0.0242960559632468,10.3567150877934,207.134301755867,11.3297565786486,0,2000,1977.5390625,22.4609375,11.3297565786486,11.1904188791918,242.573090442234,0,11.3297565786486,0.944146381554047,11.3297565786486,0,47.6457489990782,31060,135,1977.5390625,-0.447818000072175,1977.98688050007,1977.5390625
0.345,1978.32931251803,0.485970322507021,0.0242985161253511,10.3585080576466,207.170161152933,11.3316617827871,0,2000,1977.5390625,22.4609375,11.3316617827871,11.1923240833303,202.144242035195,0,11.3316617827871,0.944305148565593,11.3316617827871,0,47.8529012321135,31195,135,1977.5390625,-0.790250018029155,1978.32931251803,1977.5390625
0.346,1978.67164939135,0.486023990619305,0.0243011995309652,10.3603005293238,207.206010586476,11.3335669869257,0,2000,1977.5390625,22.4609375,11.3335669869257,11.1942292874689,168.453535029329,0,11.3335669869257,0.944463915577139,11.3335669869257,0,48.06008931938,31330,135,1977.5390625,-1.13258689135455,1978.67164939135,1977.5390625
0.347,1979.01390509217,0.486079443579835,0.0243039721789918,10.3620925759827,207.241851519653,11.3354721910642,0,2000,1977.5390625,22.4609375,11.3354721910642,11.1961344916075,140.377945857774,0,11.3354721910642,0.944622682588686,11.3354721910642,0,48.2673132517558,31465,135,1977.5390625,-1.47484259216753,1979.01390509217,1977.5390625
0.348,1979.35608544703,0.486135681241044,0.0243067840620522,10.3638842281311,207.277684562621,11.3373773952028,0,2000,1977.5390625,22.4609375,11.3373773952028,11.198039695746,116.981621548145,0,11.3373773952028,0.944781449600232,11.3373773952028,0,48.4745730210868,31600,135,1977.5390625,-1.81702294702859,1979.35608544703,1977.5390625
0.349,1979.69819323926,0.486192329350811,0.0243096164675405,10.3656755003424,207.313510006848,11.3392825993413,0,2000,1977.5390625,22.4609375,11.3392825993413,11.1999448998846,97.4846846234542,0,11.3392825993413,0.944940216611778,11.3392825993413,0,48.6818686196438,31735,135,1977.5390625,-2.15913073926026,1979.69819323926,1977.5390625
0.35,1980.04023011005,0.486249246869806,0.0243124623434903,10.3674664012099,207.349328024199,11.3411878034799,0,2000,1977.5390625,22.4609375,11.3411878034799,11.2018501040231,81.2372371862118,0,11.3411878034799,0.945098983623324,11.3411878034799,0,48.8892000399197,31870,135,1977.5390625,-2.50116761004642,1980.04023011005,1977.5390625
0.351,1980.38219726684,0.486306379668885,0.0243153189834442,10.3692569370558,207.385138741117,11.3430930076184,0,2000,1977.5390625,22.4609375,11.3430930076184,11.2037553081617,67.6976976551765,0,11.3430930076184,0.94525775063487,11.3430930076184,0,49.0965672745533,32005,135,1977.5390625,-2.84313476683519,1980.38219726684,1977.5390625
0.352,1980.72409574739,0.486363706020631,0.0243181853010315,10.3710471133138,207.420942266276,11.2541257990678,0,2000,1992.1875,7.8125,11.2541257990678,11.2056605123002,2497.82099804598,0,11.2541257990678,0.937843816588983,11.2541257990678,0,49.3039703162992,32141,136,1992.1875,11.4634042526141,1980.72409574739,1992.1875
0.353,1980.98622387982,0.457758865121949,0.0228879432560975,10.3724196130057,207.448392260115,11.3456608914574,0,2000,1977.5390625,22.4609375,11.3456608914574,11.2063231920006,-359.888751628349,0,11.3456608914574,0.94547174095478,11.3456608914574,0,49.5114061589938,32276,135,1977.5390625,-3.44716137982414,1980.98622387982,1977.5390625
0.354,1981.24106367204,0.475768789918034,0.0237884394959017,10.3737539510375,207.47507902075,11.3475660955959,0,2000,1977.5390625,22.4609375,11.3475660955959,11.2082283961391,-299.907293023625,0,11.3475660955959,0.945630507966326,11.3475660955959,0,49.7188671589813,32411,135,1977.5390625,-3.70200117203854,1981.24106367204,1977.5390625
0.355,1981.55036369163,0.482515176666253,0.0241257588333127,10.375373442153,207.507468843061,11.3494712997345,0,2000,1977.5390625,22.4609375,11.3494712997345,11.2101336002777,-249.922744186354,0,11.3494712997345,0.945789274977873,11.3494712997345,0,49.9263581595898,32546,135,1977.5390625,-4.01130119163395,1981.55036369163,1977.5390625
0.356,1981.87991377339,0.485065198689342,0.0242532599344671,10.3770989623461,207.541979246921,11.2605040911838,0,2000,1992.1875,7.8125,11.2605040911838,11.2120388044163,2233.13729651137,0,11.2605040911838,0.938375340931985,11.2605040911838,0,50.1338827825573,32682,136,1992.1875,10.307586226613,1981.87991377339,1992.1875
0.357,1982.13726609813,0.457389529676601,0.0228694764838301,10.3784464559674,207.568929119348,11.3520391835734,0,2000,1977.5390625,22.4609375,11.3520391835734,11.2127014841166,-580.45850290719,0,11.3520391835734,0.946003265297783,11.3520391835734,0,50.3414393740296,32817,135,1977.5390625,-4.59820359813102,1982.13726609813,1977.5390625
0.358,1982.3901537917,0.475746095876959,0.023787304793848,10.3797705728346,207.595411456691,11.3539443877119,0,2000,1977.5390625,22.4609375,11.3539443877119,11.2146066882552,-483.715419089325,0,11.3539443877119,0.946162032309329,11.3539443877119,0,50.5490207944333,32952,135,1977.5390625,-4.85109129169609,1982.3901537917,1977.5390625
0.359,1982.69855609198,0.482622083633553,0.0241311041816777,10.3813853635028,207.627707270056,11.2649771791613,0,2000,1992.1875,7.8125,11.2649771791613,11.2165118923937,2038.31006742556,0,11.2649771791613,0.938748098263442,11.2649771791613,0,50.7566320751508,33088,136,1992.1875,9.48894390801524,1982.69855609198,1992.1875
0.36,1982.94790096193,0.456558486319726,0.0228279243159863,10.3826909301888,207.653818603776,11.3565122715509,0,2000,1977.5390625,22.4609375,11.3565122715509,11.2171745720941,-742.814527145365,0,11.3565122715509,0.946376022629239,11.3565122715509,0,50.9642739092046,33223,135,1977.5390625,-5.40883846192833,1982.94790096193,1977.5390625
