time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V
0.54375,499.789137413646,0.105408039665262,0.00527040198326308,2.61688980407115,52.337796081423,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5438,499.789312204458,0.10540750598768,0.00527037529938402,2.6168907192737,52.337814385474,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54385,499.789486859574,0.105406976029129,0.00527034880145645,2.61689163376575,52.337832675315,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5439,499.789661379871,0.105406449625497,0.00527032248127485,2.61689254755189,52.3378509510378,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54395,499.789835766184,0.105405926620569,0.00527029633102844,2.61689346063649,52.3378692127298,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.544,499.790010019314,0.105405406865643,0.00527027034328215,2.61689437302374,52.3378874604748,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54405,499.790184129243,0.105404800630927,0.00527024003154636,2.6168952846612,52.337905693224,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5441,499.790358086626,0.105404201741924,0.00527021008709621,2.61689619549993,52.3379239099985,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54415,499.790531893184,0.105403609859745,0.00527018049298724,2.61689710554894,52.3379421109787,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5442,499.790705550558,0.105403024661814,0.00527015123309068,2.61689801481682,52.3379602963364,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
