time_s,duty_ideal,duty_quantized,voltage_quantized_V
0.695,0.471243301145072,0.471306471306471,5.65567765567766
0.696,0.471243236068813,0.471306471306471,5.65567765567766
0.697,0.471243171949919,0.471306471306471,5.65567765567766
0.698,0.471243108774367,0.471306471306471,5.65567765567766
0.699,0.47124304652834,0.471306471306471,5.65567765567766
0.7,0.471242985198221,0.471306471306471,5.65567765567766
0.701,0.471242924770594,0.471306471306471,5.65567765567766
0.702,0.471242865232236,0.471306471306471,5.65567765567766
0.703,0.471242806570119,0.471306471306471,5.65567765567766
0.704,0.471242748771404,0.471306471306471,5.65567765567766
0.705,0.47124269182344,0.471306471306471,5.65567765567766
0.706,0.471242635713759,0.471306471306471,5.65567765567766
0.707,0.471242580430077,0.471306471306471,5.65567765567766
0.708,0.471242525960288,0.471306471306471,5.65567765567766
0.709,0.471242472292463,0.471306471306471,5.65567765567766
0.71,0.471242419414847,0.471306471306471,5.65567765567766
0.711,0.471242367315856,0.471306471306471,5.65567765567766
0.712,0.471242315984077,0.471306471306471,5.65567765567766
0.713,0.471242265408262,0.471306471306471,5.65567765567766
0.714,0.471242215577327,0.471306471306471,5.65567765567766
0.715,0.471242166480351,0.471306471306471,5.65567765567766
0.716,0.471242118106571,0.471306471306471,5.65567765567766
0.717,0.471242070445382,0.471306471306471,5.65567765567766
0.718,0.471242023486334,0.471306471306471,5.65567765567766
0.719,0.47124197721913,0.471306471306471,5.65567765567766
0.72,0.471241931633621,0.471306471306471,5.65567765567766
0.721,0.471241886719809,0.471306471306471,5.65567765567766
0.722,0.471241842467841,0.471306471306471,5.65567765567766
0.723,0.471241798868008,0.471306471306471,5.65567765567766
0.724,0.471241755910742,0.471306471306471,5.65567765567766
0.725,0.471241713586616,0.471306471306471,5.65567765567766
0.726,0.47124167188634,0.471306471306471,5.65567765567766
0.727,0.471241630800759,0.471306471306471,5.65567765567766
0.728,0.471241590320854,0.471306471306471,5.65567765567766
0.729,0.471241550437736,0.471306471306471,5.65567765567766
0.73,0.471241511142645,0.471306471306471,5.65567765567766
0.731,0.471241472426952,0.471306471306471,5.65567765567766
0.732,0.471241434282152,0.471306471306471,5.65567765567766
0.733,0.471241396699865,0.471306471306471,5.65567765567766
0.734,0.471241359671832,0.471306471306471,5.65567765567766
0.735,0.471241323189916,0.471306471306471,5.65567765567766
0.736,0.4712412872461,0.471306471306471,5.65567765567766
0.737,0.471241251832483,0.471306471306471,5.65567765567766
0.738,0.471241216941278,0.471306471306471,5.65567765567766
0.739,0.471241182564815,0.471306471306471,5.65567765567766
0.74,0.471241148695533,0.471306471306471,5.65567765567766
0.741,0.471241115325985,0.471306471306471,5.65567765567766
0.742,0.471241082448829,0.471306471306471,5.65567765567766
0.743,0.471241050056834,0.471306471306471,5.65567765567766
0.744,0.471241018142873,0.471306471306471,5.65567765567766
0.745,0.471240986699922,0.471306471306471,5.65567765567766
0.746,0.471240955721062,0.471306471306471,5.65567765567766
0.747,0.471240925199474,0.471306471306471,5.65567765567766
0.748,0.47124089512844,0.471306471306471,5.65567765567766
0.749,0.471240865501338,0.471306471306471,5.65567765567766
0.75,0.471240836311645,0.471306471306471,5.65567765567766
0.751,0.471240807552932,0.471306471306471,5.65567765567766
0.752,0.471240779218866,0.471306471306471,5.65567765567766
0.753,0.471240751303204,0.471306471306471,5.65567765567766
0.754,0.471240723799796,0.471306471306471,5.65567765567766
0.755,0.471240696702582,0.471306471306471,5.65567765567766
0.756,0.471240670005591,0.471306471306471,5.65567765567766
0.757,0.471240643702939,0.471306471306471,5.65567765567766
0.758,0.471240617788826,0.471306471306471,5.65567765567766
0.759,0.471240592257541,0.471306471306471,5.65567765567766
0.76,0.471240567103454,0.471306471306471,5.65567765567766
0.761,0.471240542321017,0.471306471306471,5.65567765567766
0.762,0.471240517904765,0.471306471306471,5.65567765567766
0.763,0.471240493849312,0.471306471306471,5.65567765567766
0.764,0.471240470149351,0.471306471306471,5.65567765567766
0.765,0.471240446799652,0.471306471306471,5.65567765567766
0.766,0.471240423795064,0.471306471306471,5.65567765567766
0.767,0.471240401130509,0.471306471306471,5.65567765567766
0.768,0.471240378800983,0.471306471306471,5.65567765567766
0.769,0.471240356801558,0.471306471306471,5.65567765567766
0.77,0.471240335127376,0.471306471306471,5.65567765567766
0.771,0.471240313773651,0.471306471306471,5.65567765567766
0.772,0.471240292735666,0.471306471306471,5.65567765567766
0.773,0.471240272008776,0.471306471306471,5.65567765567766
0.774,0.4712402515884,0.471306471306471,5.65567765567766
0.775,0.471240231470028,0.471306471306471,5.65567765567766
0.776,0.471240211649213,0.471306471306471,5.65567765567766
0.777,0.471240192121576,0.471306471306471,5.65567765567766
0.778,0.471240172882799,0.471306471306471,5.65567765567766
0.779,0.47124015392863,0.471306471306471,5.65567765567766
0.78,0.471240135254877,0.471306471306471,5.65567765567766
0.781,0.471240116857413,0.471306471306471,5.65567765567766
0.782,0.471240098732167,0.471306471306471,5.65567765567766
0.783,0.471240080875131,0.471306471306471,5.65567765567766
0.784,0.471240063282355,0.471306471306471,5.65567765567766
