time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm
0.367986964656249,2094.23452053463,0.518316925684764,0.0259158462842382,10.9653863076762,219.307726153524,12,0
0.368036964656249,2094.25354135715,0.518266438968569,0.0259133219484284,10.96548590047,219.309718009401,12,0
0.368086964656249,2094.27254918025,0.518215986756542,0.0259107993378271,10.9655854251991,219.311708503982,12,0
0.368136964656249,2094.29154401283,0.518165569025102,0.0259082784512551,10.9656848819099,219.313697638198,12,0
0.368186964656249,2094.31052586376,0.518115185750685,0.0259057592875342,10.9657842706489,219.315685412979,12,0
0.368236964656249,2094.32949474191,0.51806483690974,0.025903241845487,10.9658835914627,219.317671829254,12,0
0.368286964656249,2094.34845065615,0.518014522478734,0.0259007261239367,10.9659828443975,219.319656887951,12,0
0.368336964656249,2094.36739361534,0.517964242434153,0.0258982121217076,10.9660820294999,219.321640589998,12,0
0.368386964656249,2094.38632362832,0.517913996752493,0.0258956998376246,10.9661811468161,219.323622936323,12,0
0.368436964656249,2094.40524070396,0.517863785410271,0.0258931892705136,10.9662801963925,219.325603927851,12,0
0.368486964656249,2094.42414485109,0.517813608384018,0.0258906804192009,10.9663791782754,219.327583565509,12,0
0.368536964656249,2094.44303607854,0.517763465650282,0.0258881732825141,10.9664780925111,219.329561850222,12,0
0.368586964656249,2094.46191439516,0.517713357185626,0.0258856678592813,10.9665769391457,219.331538782914,12,0
0.368636964656249,2094.48077980975,0.517663282966629,0.0258831641483315,10.9666757182255,219.333514364511,12,0
0.368686964656249,2094.49963233114,0.517613242969887,0.0258806621484944,10.9667744297967,219.335488595934,12,0
0.368736964656249,2094.51847196814,0.517563237172012,0.0258781618586006,10.9668730739054,219.337461478107,12,0
0.368786964656249,2094.53729872955,0.51751326554963,0.0258756632774815,10.9669716505976,219.339433011952,12,0
0.368836964656249,2094.55611262418,0.517463328079386,0.0258731664039693,10.9670701599195,219.34140319839,12,0
0.368886964656249,2094.57491366082,0.517413424737938,0.0258706712368969,10.9671686019172,219.343372038343,12,0
0.368936964656249,2094.59370184825,0.517363555501962,0.0258681777750981,10.9672669766365,219.34533953273,12,0
0.368986964656249,2094.61247719526,0.517313720348149,0.0258656860174075,10.9673652841236,219.347305682471,12,0
0.369036964656249,2094.63123971062,0.517263919253207,0.0258631959626604,10.9674635244243,219.349270488486,12,0
0.369086964656249,2094.64998940311,0.517214152193859,0.0258607076096929,10.9675616975846,219.351233951691,12,0
0.369136964656249,2094.66872628148,0.517164419146843,0.0258582209573421,10.9676598036503,219.353196073006,12,0
0.369186964656249,2094.68745035449,0.517114720088914,0.0258557360044457,10.9677578426673,219.355156853347,12,0
0.369236964656249,2094.7061616309,0.517065054996844,0.0258532527498422,10.9678558146815,219.35711629363,12,0
0.369286964656249,2094.72486011945,0.517015423847419,0.0258507711923709,10.9679537197386,219.359074394772,12,0
0.369336964656249,2094.74354582888,0.516965826617441,0.0258482913308721,10.9680515578844,219.361031157688,12,0
0.369386964656249,2094.76221876792,0.51691626328373,0.0258458131641865,10.9681493291646,219.362986583292,12,0
0.369436964656249,2094.78087894531,0.516866733823118,0.0258433366911559,10.9682470336249,219.364940672499,12,0
0.369486964656249,2094.79952636976,0.516817238212457,0.0258408619106229,10.968344671311,219.366893426221,12,0
0.369536964656249,2094.81816104999,0.516767776428612,0.0258383888214306,10.9684422422685,219.368844845371,12,0
0.369586964656249,2094.8367829947,0.516718348448466,0.0258359174224233,10.9685397465431,219.370794930861,12,0
0.369636964656249,2094.85539221261,0.516668954248914,0.0258334477124457,10.9686371841802,219.372743683604,12,0
0.369686964656249,2094.87398871241,0.516619593806872,0.0258309796903436,10.9687345552254,219.374691104509,12,0
0.369736964656249,2094.8925725028,0.516570267099267,0.0258285133549634,10.9688318597243,219.376637194487,12,0
0.369786964656249,2094.91114359245,0.516520974103045,0.0258260487051523,10.9689290977224,219.378581954448,12,0
0.369836964656249,2094.92970199005,0.516471714795167,0.0258235857397583,10.969026269265,219.3805253853,12,0
0.369886964656249,2094.94824770427,0.516422489152608,0.0258211244576304,10.9691233743976,219.382467487951,12,0
0.369936964656249,2094.96678074378,0.516373297152361,0.025818664857618,10.9692204131655,219.384408263311,12,0
0.369986964656249,2094.98530111725,0.516324138771433,0.0258162069385717,10.9693173856143,219.386347712285,12,0
0.370036964656249,2095.00380883332,0.516275013986849,0.0258137506993424,10.969414291789,219.38828583578,12,0
0.370086964656249,2095.02230390066,0.516225922775647,0.0258112961387823,10.9695111317351,219.390222634703,12,0
0.370136964656249,2095.0407863279,0.516176865114882,0.0258088432557441,10.9696079054979,219.392158109957,12,0
0.370186964656249,2095.05925612368,0.516127840981625,0.0258063920490812,10.9697046131224,219.394092262449,12,0
0.370236964656249,2095.07771329664,0.516078850352962,0.0258039425176481,10.9698012546541,219.396025093081,12,0
0.370286964656249,2095.09615785541,0.516029893205995,0.0258014946602998,10.9698978301379,219.397956602758,12,0
0.370336964656249,2095.11458980859,0.515980969517842,0.0257990484758921,10.9699943396191,219.399886792382,12,0
0.370386964656249,2095.13300916482,0.515932079265636,0.0257966039632818,10.9700907831428,219.401815662855,12,0
0.370436964656249,2095.15141593269,0.515883222426525,0.0257941611213263,10.970187160754,219.40374321508,12,0
0.370486964656249,2095.16981012081,0.515834398977675,0.0257917199488838,10.9702834724978,219.405669449955,12,0
0.370536964656249,2095.18819173778,0.515785608896265,0.0257892804448133,10.9703797184192,219.407594368383,12,0
0.370586964656249,2095.2065607922,0.515736852159491,0.0257868426079746,10.9704758985632,219.409517971263,12,0
0.370636964656249,2095.22491729263,0.515688128744564,0.0257844064372282,10.9705720129747,219.411440259494,12,0
0.370686964656249,2095.24326124768,0.515639438628712,0.0257819719314356,10.9706680616987,219.413361233974,12,0
0.370736964656249,2095.2615926659,0.515590781789175,0.0257795390894588,10.9707640447801,219.415280895601,12,0
0.370786964656249,2095.27991155587,0.515542158203213,0.0257771079101607,10.9708599622636,219.417199245273,12,0
0.370836964656249,2095.29821792615,0.515493567848099,0.025774678392405,10.9709558141943,219.419116283886,12,0
0.370886964656249,2095.31651178529,0.515445010701122,0.0257722505350561,10.9710516006168,219.421032012335,12,0
0.370936964656249,2095.33479314185,0.515396486739586,0.0257698243369793,10.9711473215759,219.422946431518,12,0
0.370986964656249,2095.35306200437,0.515347995940811,0.0257673997970406,10.9712429771164,219.424859542327,12,0
0.371036964656249,2095.3713183814,0.515299538282134,0.0257649769141067,10.9713385672829,219.426771345658,12,0
0.371086964656249,2095.38956228145,0.515251113740905,0.0257625556870452,10.9714340921202,219.428681842405,12,0
0.371136964656249,2095.40779371307,0.51520272229449,0.0257601361147245,10.9715295516729,219.430591033459,12,0
0.371186964656249,2095.42601268476,0.515154363920272,0.0257577181960136,10.9716249459857,219.432498919713,12,0
0.371236964656249,2095.44421920505,0.515106038595648,0.0257553019297824,10.971720275103,219.43440550206,12,0
0.371286964656249,2095.46241328245,0.515057746298031,0.0257528873149015,10.9718155390695,219.43631078139,12,0
0.371336964656249,2095.48059492546,0.515009487004849,0.0257504743502424,10.9719107379297,219.438214758593,12,0
0.371386964656249,2095.49876414258,0.514961260693546,0.0257480630346773,10.972005871728,219.440117434561,12,0
0.371436964656249,2095.5169209423,0.514913067341581,0.0257456533670791,10.9721009405091,219.442018810181,12,0
0.371486964656249,2095.5350653331,0.514864906926429,0.0257432453463215,10.9721959443171,219.443918886343,12,0
0.371536964656249,2095.55319732348,0.51481677942558,0.025740838971279,10.9722908831967,219.445817663935,12,0
0.371586964656249,2095.57131692189,0.514768684816539,0.0257384342408269,10.9723857571922,219.447715143844,12,0
0.371636964656249,2095.58942413682,0.514720623076827,0.0257360311538413,10.9724805663478,219.449611326957,12,0
0.371686964656249,2095.60751897672,0.514672594183979,0.025733629709199,10.972575310708,219.45150621416,12,0
0.371736964656249,2095.62560145006,0.514624598115548,0.0257312299057774,10.972669990317,219.45339980634,12,0
0.371786964656249,2095.64367156527,0.5145766348491,0.025728831742455,10.972764605219,219.45529210438,12,0
0.371836964656249,2095.66172933082,0.514528704362218,0.0257264352181109,10.9728591554583,219.457183109166,12,0
0.371886964656249,2095.67977475514,0.514480806632498,0.0257240403316249,10.9729536410791,219.459072821582,12,0
0.371936964656249,2095.69780784666,0.514432941637553,0.0257216470818777,10.9730480621255,219.46096124251,12,0
0.371986964656249,2095.71582861382,0.514385109355012,0.0257192554677506,10.9731424186417,219.462848372834,12,0
0.372036964656249,2095.73383706503,0.514337309762518,0.0257168654881259,10.9732367106717,219.464734213434,12,0
0.372086964656249,2095.75183320871,0.51428954283773,0.0257144771418865,10.9733309382597,219.466618765194,12,0
0.372136964656249,2095.76981705328,0.514241808558321,0.025712090427916,10.9734251014497,219.468502028993,12,0
0.372186964656249,2095.78778860714,0.51419410690198,0.025709705345099,10.9735192002856,219.470384005712,12,0
0.372236964656249,2095.80574787868,0.514146437846412,0.0257073218923206,10.9736132348116,219.472264696231,12,0
0.372286964656249,2095.82369487631,0.514098801369337,0.0257049400684668,10.9737072050714,219.474144101428,12,0
0.372336964656249,2095.84162960842,0.514051197448489,0.0257025598724245,10.9738011111091,219.476022222182,12,0
0.372386964656249,2095.85955208337,0.514003626061619,0.0257001813030809,10.9738949529685,219.477899059371,12,0
0.372436964656249,2095.87746230956,0.513956087186491,0.0256978043593246,10.9739887306936,219.479774613872,12,0
0.372486964656249,2095.89536029536,0.513908580800887,0.0256954290400443,10.974082444328,219.481648886561,12,0
0.372536964656249,2095.91324604912,0.513861106882602,0.0256930553441301,10.9741760939157,219.483521878315,12,0
0.372586964656249,2095.93111957921,0.513813665409446,0.0256906832704723,10.9742696795004,219.485393590009,12,0
0.372636964656249,2095.94898089398,0.513766256359246,0.0256883128179623,10.9743632011259,219.487264022518,12,0
0.372686964656249,2095.96683000178,0.513718879709843,0.0256859439854922,10.9744566588358,219.489133176716,12,0
0.372736964656249,2095.98466691095,0.513671535439093,0.0256835767719547,10.9745500526738,219.491001053477,12,0
0.372786964656249,2096.00249162984,0.513624223524868,0.0256812111762434,10.9746433826837,219.492867653673,12,0
0.372836964656249,2096.02030416676,0.513576943945054,0.0256788471972527,10.9747366489089,219.494732978178,12,0
0.372886964656249,2096.03810453006,0.513529696677553,0.0256764848338777,10.9748298513932,219.496597027863,12,0
0.372936964656249,2096.05589272804,0.513482481700282,0.0256741240850141,10.97492299018,219.4984598036,12,0
0.372986964656249,2096.07366876902,0.513435298991172,0.0256717649495586,10.9750160653129,219.500321306258,12,0
0.373036964656249,2096.0914326613,0.513388148528171,0.0256694074264085,10.9751090768354,219.502181536709,12,0
0.373086964656249,2096.10918441321,0.51334103028924,0.025667051514462,10.975202024791,219.504040495821,12,0
0.373136964656249,2096.12692403302,0.513293944252357,0.0256646972126178,10.9752949092232,219.505898184463,12,0
0.373186964656249,2096.14465152903,0.513246890395513,0.0256623445197757,10.9753877301752,219.507754603504,12,0
0.373236964656249,2096.16236690952,0.513199868696717,0.0256599934348358,10.9754804876906,219.509609753812,12,0
0.373286964656249,2096.18007018279,0.513152879133989,0.0256576439566995,10.9755731818126,219.511463636252,12,0
0.373336964656249,2096.19776135709,0.513105921685368,0.0256552960842684,10.9756658125847,219.513316251693,12,0
0.373386964656249,2096.2154404407,0.513058996328906,0.0256529498164453,10.97575838005,219.515167601,12,0
0.373436964656249,2096.23310744189,0.513012103042669,0.0256506051521334,10.9758508842519,219.517017685038,12,0
0.373486964656249,2096.25076236891,0.51296524180474,0.025648262090237,10.9759433252336,219.518866504672,12,0
0.373536964656249,2096.26840523,0.512918412593217,0.0256459206296608,10.9760357030383,219.520714060766,12,0
0.373586964656249,2096.28603603343,0.512871615386211,0.0256435807693105,10.9761280177092,219.522560354183,12,0
0.373636964656249,2096.30365478743,0.512824850161849,0.0256412425080925,10.9762202692894,219.524405385787,12,0
0.373686964656249,2096.32126150023,0.512778116898274,0.0256389058449137,10.976312457822,219.52624915644,12,0
0.373736964656249,2096.33885618006,0.512731415573643,0.0256365707786822,10.9764045833502,219.528091667004,12,0
0.373786964656249,2096.35643883515,0.512684746166127,0.0256342373083064,10.976496645917,219.529932918339,12,0
0.373836964656249,2096.37400947372,0.512638108653914,0.0256319054326957,10.9765886455653,219.531772911307,12,0
0.373886964656249,2096.39156810397,0.512591503015205,0.0256295751507603,10.9766805823384,219.533611646767,12,0
0.373936964656249,2096.40911473412,0.512544929228217,0.0256272464614109,10.976772456279,219.535449125579,12,0
0.373986964656249,2096.42664937236,0.512498387271181,0.0256249193635591,10.9768642674301,219.537285348602,12,0
0.374036964656249,2096.44417202689,0.512451877122345,0.0256225938561172,10.9769560158347,219.539120316694,12,0
0.374086964656249,2096.46168270591,0.512405398759968,0.0256202699379984,10.9770477015356,219.540954030712,12,0
0.374136964656249,2096.47918141759,0.512358952162328,0.0256179476081164,10.9771393245757,219.542786491515,12,0
0.374186964656249,2096.49666817011,0.512312537307715,0.0256156268653858,10.9772308849978,219.544617699957,12,0
0.374236964656249,2096.51414297166,0.512266154174435,0.0256133077087218,10.9773223828448,219.546447656895,12,0
0.374286964656249,2096.53160583038,0.51221980274081,0.0256109901370405,10.9774138181592,219.548276363185,12,0
0.374336964656249,2096.54905675446,0.512173482985173,0.0256086741492587,10.977505190984,219.550103819681,12,0
0.374386964656249,2096.56649575204,0.512127194885877,0.0256063597442938,10.9775965013618,219.551930027237,12,0
0.374436964656249,2096.58392283127,0.512080938421285,0.0256040469210642,10.9776877493353,219.553754986707,12,0
0.374486964656249,2096.60133800031,0.512034713569777,0.0256017356784889,10.9777789349472,219.555578698943,12,0
0.374536964656249,2096.61874126728,0.511988520309749,0.0255994260154875,10.97787005824,219.557401164799,12,0
0.374586964656249,2096.63613264033,0.51194235861961,0.0255971179309805,10.9779611192563,219.559222385126,12,0
0.374636964656249,2096.65351212759,0.511896228477783,0.0255948114238891,10.9780521180388,219.561042360775,12,0
0.374686964656249,2096.67087973716,0.511850129862708,0.0255925064931354,10.9781430546299,219.562861092597,12,0
0.374736964656249,2096.68823547719,0.511804062752839,0.0255902031376419,10.9782339290721,219.564678581443,12,0
0.374786964656249,2096.70557935576,0.511758027126643,0.0255879013563322,10.978324741408,219.56649482816,12,0
0.374836964656249,2096.722911381,0.511712022962604,0.0255856011481302,10.9784154916799,219.568309833599,12,0
0.374886964656249,2096.74023156101,0.51166605023922,0.025583302511961,10.9785061799304,219.570123598607,12,0
0.374936964656249,2096.75753990387,0.511620108935003,0.0255810054467502,10.9785968062017,219.571936124033,12,0
0.374986964656249,2096.77483641768,0.511574199028481,0.0255787099514241,10.9786873705362,219.573747410724,12,0
0.375036964656249,2096.79212111052,0.511528320498195,0.0255764160249097,10.9787778729763,219.575557459526,12,0
0.375086964656249,2096.80939399048,0.511482473322701,0.0255741236661351,10.9788683135643,219.577366271285,12,0
0.375136964656249,2096.82665506562,0.511436657480572,0.0255718328740286,10.9789586923423,219.579173846847,12,0
